tipo,V,tempo_construcao_ms,media_prim_ms,desvio_prim_ms,media_kruskal_ms,desvio_kruskal_ms,peso_prim,peso_kruskal
Esparso,100,0.0475,0.03559,0.00705428,0.00762,0.00287152,4740,4740
Esparso,500,0.1189,0.21543,0.0202717,0.06088,0.0419632,22570,22570
Esparso,1000,0.2035,0.44924,0.0325835,0.1281,0.0144487,45152,45152
Esparso,5000,1.3452,3.03616,0.509705,0.74094,0.174145,230996,230996
Esparso,10000,4.3516,6.18459,1.98102,1.24577,0.0851753,467158,467158
Denso,100,0.4606,0.18273,0.0108052,0.29176,0.0312455,200,200
Denso,200,1.3689,0.48657,0.0364979,1.10918,0.23127,251,251
Denso,400,5.8486,1.40023,0.304858,4.2656,0.906803,419,419
Denso,600,9.5366,1.94317,0.357578,9.1081,0.641031,605,605
Denso,800,18.524,2.82451,0.587802,20.3248,2.0213,799,799
Geometrico,100,0.7647,0.13772,0.010677,0.04235,0.0312085,6.47248,6.47248
Geometrico,300,7.1046,0.32945,0.0183491,0.08713,0.0217539,11.4419,11.4419
Geometrico,500,22.3303,0.61548,0.12864,0.14372,0.0163869,14.6866,14.6866
Geometrico,800,52.2911,1.08119,0.111184,0.3363,0.0221105,18.5424,18.5424
Geometrico,1000,82.0204,1.11305,0.200405,0.33498,0.016438,20.3811,20.3811
